model_type,hidden_layers,hidden_units,adam_lr,adam_iters,lbfgs_iters,activation,grid_size,spline_order,sampling,sigma,exp_scale,n_obs_u,n_obs_k,n_pde,seed,pde_alpha,pde_beta,epsilon,parameters,training_time_sec,compute_time_sec,evaluation_time_ms,first_derivative_time_ms,second_derivative_time_ms,err_u_global,err_k_global,err_u_inside,err_u_outside,err_k_inside,err_k_outside,mean_global_error,timestamp
KAN,3,25,0.001,2000,2000,,3,4,gaussian_exponential,5.5,7.0,100,100,1000,42,0.5,5.0,1.0,23850,486.2150104940083,502.8743143081665,1275.1854910020484,2932.7588110027136,9319.986385002267,0.0031949519857221356,0.0037537190010942753,0.0038829553975780655,0.0029656175151034922,0.0032765318218118894,0.003912781394188403,0.003474335493408205,2026-09-20_22-39-36
KAN,2,25,0.01,2000,2000,,7,4,gaussian_exponential,5.5,7.0,100,100,1000,42,0.5,5.0,1.0,18200,366.9424688900035,380.17957496643066,922.6231229986297,3307.2108369960915,8605.910529993707,0.001977819466149206,0.0009847500981820976,0.001812152172458181,0.0020330418973795476,0.0006698936115891068,0.0010897022603797613,0.001481284782165652,2026-09-20_22-47-59
KAN,2,25,0.01,2000,2000,,5,4,gaussian_exponential,5.5,7.0,100,100,1000,42,0.5,5.0,1.0,15400,372.9150936579972,386.62557435035706,1249.7113570134388,2429.776210003183,8377.242667993414,0.0020035372680799325,0.0009834952134267184,0.002456038960639556,0.0018527033705600577,0.0004115064258537934,0.0011741581426176935,0.0014935162407533255,2026-09-20_22-54-19
KAN,2,25,0.001,2000,2000,,7,3,gaussian_exponential,5.5,7.0,100,100,1000,42,0.5,5.0,1.0,16800,297.0072443329991,305.6091411113739,918.679433001671,2276.460463006515,4858.966330997646,0.004140181354887997,0.0009097108146938299,0.005932261218682339,0.003542821400289883,0.0007739792448554575,0.0009549546713066208,0.0025249460847909136,2026-09-20_23-00-46
KAN,1,25,0.01,2000,2000,,3,4,gaussian_exponential,5.5,7.0,100,100,1000,42,0.5,5.0,1.0,1350,259.8653776209976,265.42991495132446,406.5748909924878,1314.731064994703,2911.945078987628,0.013853366307807615,0.002293833019283846,0.010488003122825528,0.01497515403613498,0.0032969195963567736,0.0019594708269262033,0.008073599663545731,2026-09-20_23-05-52
KAN,2,15,0.01,2000,2000,,7,2,gaussian_exponential,5.5,7.0,100,100,1000,42,0.5,5.0,1.0,5940,93.12720497600094,94.53057861328125,23.202349999337457,41.22791400004644,104.0757900045719,0.01131146161473324,0.002094194671826621,0.014254670545429574,0.010330391971167797,0.0020212780320823013,0.002118500218408061,0.0067028281432799305,2026-09-20_23-10-17
KAN,2,35,0.0001,2000,2000,,7,4,gaussian_exponential,5.5,7.0,100,100,1000,42,0.5,5.0,1.0,34580,368.2825662980031,389.22175335884094,790.4797639930621,2943.211470003007,11752.793232997647,0.0021286153839485435,0.000573615471336771,0.003479583890092801,0.001678292548567124,0.0005706257287507037,0.0005746120521987935,0.0013511154276426574,2026-09-20_23-11-52
KAN,2,15,0.01,2000,2000,,3,4,gaussian_exponential,5.5,7.0,100,100,1000,42,0.5,5.0,1.0,4860,367.1633009109937,369.49814677238464,33.27303199330345,97.29373799927998,408.0248499958543,0.0030039278802481643,0.0005694574669247129,0.004006924657369166,0.00266959562120783,0.00047244480573165824,0.000601795020655731,0.0017866926735864387,2026-09-20_23-18-21
KAN,2,25,0.001,2000,2000,,3,2,gaussian_exponential,5.5,7.0,100,100,1000,42,0.5,5.0,1.0,9800,93.57361943500291,94.96961569786072,19.851303004543297,46.08997399918735,103.56508199765813,0.013541571715443644,0.004813598439769636,0.014797530821229168,0.013122918680181802,0.006150462035926644,0.004367977241050633,0.00917758507760664,2026-09-20_23-24-30
KAN,2,25,0.0001,2000,2000,,7,4,gaussian_exponential,5.5,7.0,100,100,1000,42,0.5,5.0,1.0,18200,365.6203736680036,379.6227765083313,975.9850049886154,3219.6681380009977,8289.60580099374,0.0018881338258163332,0.0006519252021687233,0.003909052906234936,0.0012144941323434652,0.0006086229058865162,0.0006663593009294589,0.0012700295139925282,2026-09-20_23-26-05
